date,open,high,low,close,volume,0,1,2,3,4
2007-11-18/00:00:00,19.7,20.01,19.7,19.74,11097.0,,,,,
2007-11-19/00:00:00,20.7,20.72,19.01,20.22,4551.0,,,,,
2007-11-20/00:00:00,21.23,21.23,21.23,21.23,2213.0,,,,,
2007-11-21/00:00:00,22.29,22.29,22.29,22.29,100.0,,,,,
2007-11-22/00:00:00,22.29,22.29,21.75,22.28,23999.0,,,,,
2007-11-25/00:00:00,23.39,23.39,23.39,23.39,2375.0,,,,,
2007-11-26/00:00:00,24.55,24.55,24.55,24.55,735.0,,,,,
2007-11-27/00:00:00,25.77,25.77,25.77,25.77,2352.0,,,,,
2007-11-28/00:00:00,27.05,27.05,24.49,25.87,30086.0,,,,,
2007-11-29/00:00:00,24.6,25.8,24.58,24.67,4082.0,,,,,
2007-12-02/00:00:00,23.44,23.44,23.44,23.44,1419.0,,,,,
2007-12-03/00:00:00,22.27,23.0,22.27,22.44,10186.0,,,,,
2007-12-04/00:00:00,23.48,23.56,23.48,23.54,3405.0,,,,,
2007-12-05/00:00:00,24.71,24.71,22.5,23.9,12617.0,,,,,
2007-12-06/00:00:00,22.75,22.76,22.71,22.72,3900.0,,,,,
2007-12-09/00:00:00,23.35,23.75,21.59,22.24,9916.0,,,,,
2007-12-10/00:00:00,21.61,21.61,21.13,21.31,6915.0,,,,,
2007-12-11/00:00:00,22.0,22.37,20.5,21.73,8987.0,,,,,
2007-12-12/00:00:00,22.3,22.3,20.65,21.36,5687.0,,,,,
2007-12-13/00:00:00,21.9,22.35,21.1,21.76,7500.0,,,,,
2007-12-16/00:00:00,22.3,22.3,21.23,22.06,1350.0,,,,,
2007-12-17/00:00:00,21.41,22.0,21.4,21.54,4089.0,,,,,
2007-12-23/00:00:00,21.01,23.0,21.01,22.31,4135.0,,,,,
2007-12-24/00:00:00,20.55,21.75,20.55,21.52,1300.0,,,,,
2007-12-25/00:00:00,21.78,21.79,21.0,21.22,3300.0,,,,,
2007-12-26/00:00:00,21.75,21.75,20.26,21.14,3425.0,,,,,
2007-12-27/00:00:00,21.48,27.25,20.95,24.26,46665.0,,,,,
2007-12-30/00:00:00,27.25,32.0,27.18,30.63,4225.0,,,,,
2007-12-31/00:00:00,33.4,37.48,32.0,34.71,76751.0,,,,,
2008-01-02/00:00:00,38.9,44.95,37.48,41.66,26067.0,,,,,
2008-01-03/00:00:00,47.0,55.0,41.01,46.85,78024.0,,,,,
2008-01-06/00:00:00,55.0,65.0,54.83,56.31,2512.0,,,,,
2008-01-08/00:00:00,63.0,63.0,46.0,57.15,73844.0,,,,,
2008-01-10/00:00:00,61.97,66.98,61.97,65.05,63953.0,,,,,
2008-01-13/00:00:00,61.0,66.89,57.0,60.6,56317.0,,,,,
2008-01-14/00:00:00,57.01,57.5,48.0,51.23,41060.0,,,,,
2008-01-15/00:00:00,51.7,54.99,50.5,52.74,18543.0,,,,,
2008-01-16/00:00:00,51.7,51.7,47.0,48.54,15271.0,,,,,
2008-01-17/00:00:00,46.15,52.0,43.06,46.49,13608.0,,,,,
2008-01-20/00:00:00,47.0,49.99,43.43,46.83,11750.0,,,,,
2008-01-21/00:00:00,43.25,45.55,43.0,43.7,13445.0,,,,,
2008-01-22/00:00:00,44.0,46.0,39.0,43.18,10557.0,,,,,
2008-01-23/00:00:00,44.75,46.49,41.03,43.82,17931.0,,,,,
2008-01-24/00:00:00,40.8,42.24,38.0,40.03,19659.0,,,,,
2008-01-27/00:00:00,37.01,44.0,37.01,39.79,23447.0,,,,,
2008-01-28/00:00:00,40.5,41.0,38.7,39.44,8005.0,,,,,
2008-01-29/00:00:00,38.75,40.79,38.75,39.7,12117.0,,,,,
2008-01-30/00:00:00,40.41,43.99,40.0,41.83,17046.0,,,,,
2008-01-31/00:00:00,43.99,43.99,40.01,40.99,14220.0,,,,,
2008-02-03/00:00:00,41.0,45.9,41.0,44.52,25839.0,,,,,
2008-02-04/00:00:00,46.9,46.9,40.5,43.77,18829.0,,,,,
2008-02-05/00:00:00,41.5,44.0,41.5,42.26,14582.0,,,,,
2008-02-06/00:00:00,41.0,44.0,40.0,42.43,20636.0,,,,,
2008-02-07/00:00:00,41.01,41.92,40.1,41.07,13689.0,,,,,
2008-02-10/00:00:00,41.88,41.89,40.61,40.83,4396.0,,,,,
2008-02-11/00:00:00,40.62,41.0,38.77,40.07,6040.0,,,,,
2008-02-12/00:00:00,38.62,39.79,38.2,38.58,8279.0,,,,,
2008-02-13/00:00:00,39.79,40.99,38.25,39.44,8662.0,,,,,
2008-02-14/00:00:00,40.8,42.0,34.5,40.34,15879.0,,,,,
2008-02-17/00:00:00,38.0,45.1,38.0,43.48,42238.0,,,,,
2008-02-18/00:00:00,43.5,46.45,43.48,45.22,32001.0,,,,,
2008-02-19/00:00:00,45.79,51.5,45.79,48.77,28550.0,,,,,
2008-02-20/00:00:00,47.98,49.75,45.11,47.31,28095.0,,,,,
2008-02-21/00:00:00,46.0,46.87,43.93,45.61,10732.0,,,,,
2008-02-24/00:00:00,47.89,47.99,43.3,44.52,13563.0,,,,,
2008-02-25/00:00:00,46.89,46.89,42.86,44.84,11810.0,,,,,
2008-02-26/00:00:00,43.05,44.0,42.21,42.63,6720.0,,,,,
2008-02-27/00:00:00,41.26,42.96,41.1,41.55,6725.0,,,,,
2008-02-28/00:00:00,41.11,44.0,40.0,41.63,13909.0,,,,,
2008-03-02/00:00:00,43.0,43.98,41.62,42.7,5449.0,,,,,
2008-03-03/00:00:00,43.1,43.6,40.21,41.74,9142.0,,,,,
2008-03-04/00:00:00,43.0,43.43,41.0,42.29,12673.0,,,,,
2008-03-05/00:00:00,40.5,43.71,40.5,42.97,12403.0,,,,,
2008-03-06/00:00:00,43.5,46.7,41.53,44.29,24947.0,,,,,
2008-03-09/00:00:00,45.0,51.78,45.0,48.88,61469.0,,,,,
2008-03-10/00:00:00,52.0,53.53,48.0,50.45,30913.0,,,,,
2008-03-11/00:00:00,48.6,51.79,47.3,48.52,10605.0,,,,,
2008-03-12/00:00:00,47.0,49.38,47.0,47.82,9045.0,,,,,
2008-03-13/00:00:00,49.25,51.99,44.5,46.26,19490.0,,,,,
2008-03-16/00:00:00,46.0,46.5,44.01,44.76,6735.0,,,,,
2008-03-17/00:00:00,43.0,44.5,38.0,41.24,23253.0,,,,,
2008-03-18/00:00:00,41.5,42.9,40.0,41.25,6446.0,,,,,
2008-03-19/00:00:00,42.45,43.38,40.85,41.46,9232.0,,,,,
2008-03-23/00:00:00,43.1,49.9,43.1,46.75,18877.0,,,,,
2008-03-24/00:00:00,47.99,50.21,45.15,48.0,20376.0,,,,,
2008-03-25/00:00:00,48.97,49.0,45.25,46.03,7870.0,,,,,
2008-03-26/00:00:00,47.99,61.0,46.51,52.9,106069.0,,,,,
2008-03-27/00:00:00,58.01,67.0,56.51,63.49,22759.0,,,,,
2008-03-30/00:00:00,69.0,69.0,58.0,63.01,64531.0,,,,,
2008-03-31/00:00:00,59.08,63.47,56.99,59.65,17767.0,,,,,
2008-04-01/00:00:00,60.03,64.49,57.25,59.69,36335.0,,,,,
2008-04-02/00:00:00,59.0,60.49,55.01,57.49,13175.0,,,,,
2008-04-03/00:00:00,54.1,58.5,52.99,55.08,24482.0,,,,,
2008-04-06/00:00:00,58.25,65.0,56.61,61.5,26758.0,,,,,
2008-04-07/00:00:00,64.0,64.0,59.5,61.28,18655.0,,,,,
2008-04-08/00:00:00,60.4,61.97,57.72,59.63,20282.0,,,,,
2008-04-09/00:00:00,61.48,61.48,58.01,58.92,7360.0,,,,,
2008-04-10/00:00:00,60.4,60.98,56.12,57.68,20145.0,,,,,
2008-04-13/00:00:00,56.1,57.9,55.7,56.65,12010.0,,,,,
2008-04-14/00:00:00,58.0,62.0,56.99,59.69,21649.0,,,,,
2008-04-15/00:00:00,57.11,59.93,57.1,57.74,5085.0,,,,,
2008-04-16/00:00:00,59.38,59.38,51.16,54.35,20986.0,,,,,
2008-04-17/00:00:00,56.44,56.44,51.02,52.72,11166.0,,,,,
2008-04-20/00:00:00,52.5,53.97,51.14,52.17,9336.0,,,,,
2008-04-21/00:00:00,52.52,52.85,51.5,51.83,5445.0,,,,,
2008-04-22/00:00:00,50.1,52.0,50.0,50.24,6658.0,,,,,
2008-04-23/00:00:00,50.0,51.14,50.0,50.47,2880.0,,,,,
2008-04-24/00:00:00,51.0,52.01,50.31,51.02,12531.0,,,,,
2008-04-29/00:00:00,51.6,55.99,51.6,54.76,9852.0,,,,,
2008-04-30/00:00:00,56.5,56.89,51.85,53.06,8460.0,,,,,
2008-05-04/00:00:00,54.0,56.0,53.25,54.19,11493.0,,,,,
2008-05-05/00:00:00,55.0,57.97,53.56,56.04,27848.0,,,,,
2008-05-06/00:00:00,54.13,57.75,54.13,55.48,7423.0,,,,,
2008-05-07/00:00:00,56.5,56.5,53.01,54.71,9132.0,,,,,
2008-05-08/00:00:00,53.1,55.49,53.1,54.08,12777.0,,,,,
2008-05-11/00:00:00,53.17,59.5,53.17,57.26,24512.0,,,,,
2008-05-12/00:00:00,58.43,59.0,52.08,55.54,16697.0,,,,,
2008-05-13/00:00:00,52.72,52.72,44.02,50.63,8899.0,,,,,
2008-05-14/00:00:00,48.1,50.95,44.44,48.0,14473.0,,,,,
2008-05-15/00:00:00,44.0,46.4,40.0,42.25,10360.0,,,,,
2008-05-18/00:00:00,45.98,47.98,40.05,45.44,9998.0,,,,,
2008-05-19/00:00:00,45.15,49.3,44.01,45.82,13504.0,,,,,
2008-05-20/00:00:00,47.99,50.0,47.3,48.79,15922.0,,,,,
2008-05-21/00:00:00,47.06,48.25,46.0,46.72,6130.0,,,,,
2008-05-22/00:00:00,47.93,48.4,46.0,46.69,7823.0,,,,,
2008-05-25/00:00:00,48.5,49.8,48.0,49.5,7450.0,,,,,
2008-05-26/00:00:00,50.7,58.9,48.51,53.6,44165.0,,,,,
